int1,int2,int3,int4,int5,target_sum,subset_exists
11,17,30,7,3,5,0
22,20,2,4,6,24,1
14,12,26,2,19,28,1
8,27,11,24,25,49,1
16,16,24,27,17,36,0
9,9,23,10,3,27,0
30,21,13,20,22,47,0
2,3,25,28,10,4,0
10,13,18,28,4,9,0
8,20,27,19,28,96,0
3,26,15,27,20,63,0
8,1,30,12,25,74,0
20,9,10,6,11,26,1
20,12,30,19,2,76,0
3,8,1,10,11,29,1
25,19,12,28,21,79,0
2,12,26,2,21,23,1
9,30,10,13,3,41,0
23,1,1,2,17,3,1
23,19,4,3,23,10,0
1,18,2,22,27,67,1
11,12,10,7,24,41,1
27,5,23,12,16,80,0
18,25,21,16,30,38,0
19,24,3,23,12,27,1
1,5,8,13,7,13,1
5,23,8,10,5,11,0
6,23,29,4,27,53,0
25,6,1,10,24,63,0
20,15,20,24,27,92,0
6,25,12,14,27,22,0
18,6,24,7,3,17,0
4,18,24,18,29,42,1
25,12,15,6,24,41,0
6,25,4,18,12,61,1
26,21,15,17,24,42,0
19,29,27,21,14,46,1
23,15,2,8,15,13,0
13,30,8,27,25,101,0
20,11,8,16,9,33,1
25,6,18,19,8,4,0
16,2,9,8,12,3,0
30,26,23,24,14,56,1
30,28,24,29,17,32,0
11,9,18,17,14,30,0
22,19,26,2,27,95,0
27,15,7,18,21,7,1
26,1,23,28,9,69,0
26,3,29,22,18,21,1
26,3,7,11,6,45,0
24,20,10,29,15,27,0
14,18,15,16,21,50,1
14,18,7,15,12,27,1
2,20,29,11,5,26,0
20,5,20,21,6,51,1
11,2,16,3,18,10,0
22,3,27,14,2,41,1
3,14,19,28,14,59,1
5,4,6,7,4,18,1
13,7,9,14,17,45,0
14,8,14,1,4,5,1
23,4,4,4,22,13,0
4,13,15,11,29,14,0
3,16,9,7,12,44,1
20,18,6,5,23,25,1
23,30,15,29,24,56,0
12,17,30,20,28,43,0
3,1,20,16,13,23,1
7,4,24,3,2,4,1
25,18,16,5,21,41,1
17,6,24,27,30,76,0
2,11,25,20,14,19,0
2,5,18,22,17,12,0
12,7,20,8,7,29,0
23,14,11,29,22,40,1
3,28,14,1,19,39,0
7,2,17,24,3,18,0
10,27,15,20,6,71,0
13,11,13,9,24,9,1
7,17,21,2,4,29,0
11,13,13,9,7,40,1
1,14,14,13,1,5,0
3,24,29,24,26,87,0
11,4,29,4,26,7,0
19,27,10,6,3,20,0
3,1,27,24,20,60,0
25,22,24,28,27,114,0
17,14,14,26,17,56,0
12,18,27,30,22,80,0
26,2,10,2,13,41,1
20,13,1,10,3,14,1
27,6,26,29,29,42,0
29,7,9,26,2,28,1
22,19,30,19,1,56,0
7,6,26,10,17,16,1
22,1,9,10,1,1,1
19,9,3,26,5,42,0
8,9,25,13,26,12,0
26,20,4,30,15,81,0
14,9,27,25,26,90,0
6,2,8,2,1,7,1
17,28,15,7,5,66,0
24,21,18,28,20,108,0
30,7,6,19,3,64,0
28,23,13,22,29,38,0
15,10,8,1,5,27,0
15,13,12,7,26,14,0
23,30,20,21,23,70,0
20,25,2,3,7,48,1
17,26,20,22,24,51,0
22,21,22,16,12,69,0
26,8,15,6,8,15,1
5,16,7,1,1,10,0
27,23,19,20,19,92,0
12,28,24,9,15,83,0
4,21,26,4,22,11,0
8,13,27,21,16,52,0
14,29,19,16,9,5,0
21,23,28,30,23,3,0
7,14,24,30,25,56,1
16,4,20,26,21,59,0
27,10,26,20,5,18,0
22,19,21,22,27,56,0
21,29,10,17,5,62,0
28,3,4,14,12,29,1
11,13,5,11,8,46,0
30,27,20,10,11,95,0
10,14,15,5,4,15,1
9,2,20,8,26,65,1
12,5,30,23,17,60,0
4,10,9,2,12,27,1
28,15,25,19,15,9,0
22,9,26,7,21,30,1
1,2,17,13,27,31,1
16,10,11,19,28,55,1
21,14,6,12,4,51,1
6,17,17,29,10,68,0
21,11,3,23,29,75,0
4,9,18,20,2,14,0
5,19,23,17,16,55,0
28,20,22,30,11,26,0
4,14,29,20,10,63,1
3,17,23,3,23,62,0
16,7,6,8,18,6,1
30,28,6,2,21,72,0
22,3,19,13,20,43,0
11,21,25,28,23,47,0
13,29,13,24,1,59,0
17,26,18,19,30,31,0
30,26,20,10,16,12,0
19,13,19,13,17,58,0
21,17,2,16,28,58,0
22,3,5,14,13,18,1
27,22,2,11,11,18,0
13,15,30,15,8,52,0
10,4,4,19,20,22,0
24,16,15,2,23,31,1
17,25,1,6,18,48,1
1,4,27,24,28,46,0
8,1,23,12,10,27,0
6,9,8,19,11,48,0
10,23,16,14,21,37,1
10,14,3,8,20,48,0
8,24,15,9,27,53,0
1,5,15,5,26,18,0
25,21,1,10,24,62,0
6,28,11,10,30,84,0
6,17,19,1,4,1,1
22,30,30,28,13,26,0
2,27,23,6,3,53,1
7,7,5,1,7,22,1
8,2,6,4,11,28,0
20,30,23,19,3,7,0
12,8,12,11,7,23,1
24,13,24,26,27,79,0
3,16,24,7,25,42,0
15,25,25,30,25,17,0
7,29,9,14,10,50,1
19,13,5,4,10,34,1
19,20,17,24,18,17,1
18,24,21,14,12,3,0
18,6,11,1,28,23,0
22,24,11,26,29,73,0
17,13,26,14,8,5,0
23,29,1,5,10,12,0
27,21,13,28,30,116,0
13,22,22,8,16,54,0
21,10,25,7,10,35,1
10,20,3,10,27,7,0
14,8,19,29,30,42,0
24,14,7,13,4,55,1
14,18,29,29,18,4,0
9,1,7,27,6,35,1
30,4,12,2,14,16,1
25,16,17,6,17,30,0
10,30,23,2,14,6,0
30,23,24,5,2,40,0
2,16,13,26,22,79,1
6,2,27,12,5,5,1
16,22,30,12,3,19,1
1,10,22,7,8,7,1
15,27,18,13,16,7,0
23,2,4,12,26,18,1
19,16,30,22,8,1,0
11,12,21,17,20,60,1
11,15,28,7,8,58,1
27,4,19,18,15,51,0
21,1,11,3,12,47,1
27,5,15,17,17,5,1
2,20,2,11,9,12,0
11,12,21,12,24,73,0
22,8,16,29,7,50,0
11,13,18,26,5,61,0
6,4,30,18,8,42,1
11,15,20,6,20,53,0
17,18,9,19,5,9,1
12,1,13,12,10,13,1
17,23,11,27,25,58,0
24,28,27,11,13,2,0
18,2,28,4,18,28,1
18,19,27,3,2,68,0
23,3,12,5,27,15,1
4,19,28,7,2,41,1
3,4,2,17,16,23,1
11,7,5,29,21,48,0
13,3,22,3,12,6,1
7,30,23,11,25,78,1
12,23,16,14,9,4,0
2,20,9,3,19,2,1
16,4,1,18,25,61,0
26,20,1,17,28,85,0
9,24,4,6,2,3,0
27,4,23,1,13,26,0
17,12,3,10,5,44,1
5,4,27,9,24,30,0
7,17,30,17,30,51,0
27,15,10,16,14,44,0
6,7,6,14,18,20,1
20,7,27,6,28,7,1
20,14,3,9,10,23,1
19,19,27,13,15,60,0
21,4,21,18,3,18,1
23,10,7,7,2,41,0
5,25,23,11,23,16,1
15,11,28,3,18,35,0
5,6,15,23,16,16,1
18,7,12,25,2,47,0
6,17,21,28,27,79,0
27,21,11,24,6,22,0
20,28,6,5,4,53,1
4,20,16,5,6,26,1
25,30,12,23,17,34,0
29,7,24,18,20,19,0
21,6,15,20,30,9,0
22,12,7,13,12,57,0
30,10,28,1,25,81,0
11,1,27,25,2,37,1
28,15,22,28,1,9,0
3,20,6,15,16,41,1
6,13,24,14,26,23,0
22,20,28,15,25,21,0
27,1,17,15,25,37,0
10,26,10,15,29,55,1
21,15,27,2,18,2,1
17,10,29,27,18,12,0
15,29,18,9,22,20,0
25,12,1,17,27,72,0
4,7,5,22,23,34,1
20,3,13,10,10,33,1
2,18,20,14,20,5,0
27,26,5,14,3,14,1
18,29,13,26,20,93,1
15,4,15,11,1,2,0
25,1,25,26,6,20,0
1,13,26,21,23,77,0
17,18,23,22,21,96,0
3,4,4,25,2,23,0
8,22,14,27,27,45,0
17,20,9,8,24,65,0
8,7,19,9,15,41,1
25,3,1,30,18,41,0
5,23,26,26,19,27,0
22,24,19,11,16,81,1
5,18,17,24,23,61,0
13,6,20,9,25,42,1
15,1,14,4,21,37,1
30,24,5,21,2,59,1
3,19,28,2,24,22,1
5,28,6,11,1,4,0
12,21,3,18,11,16,0
14,6,8,8,19,7,0
22,17,15,28,14,44,0
24,3,21,5,23,17,0
20,23,2,24,10,35,1
8,30,4,10,26,35,0
19,9,7,20,6,2,0
15,15,25,21,29,5,0
18,21,2,30,9,13,0
2,24,10,27,5,24,1
29,28,23,22,9,62,0
5,24,27,17,28,79,1
26,27,23,24,7,49,1
18,27,18,3,22,80,0
27,24,5,4,30,48,0
5,17,12,9,13,11,0
10,18,20,19,19,78,0
20,14,7,25,15,7,1
15,23,20,13,18,75,0
3,21,16,28,12,79,0
28,10,24,1,6,1,1
1,9,4,20,27,35,0
13,25,14,5,13,42,0
15,5,16,29,16,67,0
21,26,17,15,12,61,0
11,27,20,8,12,44,0
4,16,19,1,12,34,0
17,18,3,18,16,19,1
18,6,5,4,1,2,0
24,12,16,8,21,1,0
17,20,7,20,3,53,0
9,21,5,28,23,38,0
13,14,4,9,24,63,0
24,21,5,23,5,49,1
10,6,30,3,16,5,0
17,10,6,24,23,69,0
2,10,5,19,3,4,0
27,19,10,9,21,3,0
8,29,16,14,17,20,0
11,1,3,4,18,20,0
10,28,28,11,22,96,0
7,14,24,6,14,9,0
6,24,1,5,6,20,0
10,25,16,8,3,61,0
23,21,10,25,15,13,0
3,23,24,16,19,5,0
22,19,29,10,18,52,0
21,24,10,10,9,19,1
13,29,7,21,4,39,0
29,9,22,7,25,54,1
27,1,7,8,24,64,0
20,29,10,22,10,84,0
28,11,23,24,16,35,1
16,7,27,13,22,26,0
8,24,26,7,23,43,0
24,17,8,6,9,49,1
6,12,15,13,9,32,0
28,1,25,14,16,17,1
19,20,19,22,15,3,0
30,16,19,13,1,54,0
22,26,13,24,26,12,0
25,17,12,12,5,40,0
14,29,4,12,3,34,0
4,8,19,21,4,49,0
2,22,5,23,1,2,1
25,11,10,7,26,76,0
26,4,24,17,26,32,0
9,8,14,1,2,9,1
18,12,4,30,12,52,1
24,7,21,23,16,22,0
18,26,26,25,11,64,0
3,6,18,23,11,50,1
20,11,19,3,1,8,0
10,12,21,22,11,7,0
22,5,11,12,11,4,0
14,1,7,27,8,57,1
18,18,4,7,28,25,1
16,16,24,7,15,20,0
11,19,12,3,2,8,0
23,28,25,9,11,47,0
26,5,17,25,5,4,0
7,24,6,12,15,55,0
27,9,6,23,27,16,0
11,18,18,4,5,3,0
2,29,11,17,7,45,0
4,21,27,8,9,46,0
5,27,20,18,24,60,0
28,10,7,16,8,31,1
6,16,24,15,7,17,0
18,25,15,23,6,39,1
9,25,1,21,12,58,1
5,25,5,3,7,17,1
9,21,13,24,3,52,0
14,15,19,14,16,75,0
4,18,9,2,15,13,1
17,17,18,22,20,3,0
26,6,10,9,3,21,0
21,17,23,17,30,58,0
24,14,30,20,3,38,1
5,19,8,4,26,27,1
27,21,11,5,8,34,1
3,22,30,25,14,5,0
7,14,2,27,30,22,0
14,19,27,6,25,3,0
27,29,5,23,1,80,1
5,25,21,8,14,14,1
8,11,25,29,9,15,0
16,7,22,7,5,30,1
7,3,26,20,17,9,0
5,6,10,27,3,51,1
5,30,3,30,16,67,0
9,8,29,22,1,14,0
23,26,1,3,16,44,0
7,24,26,23,13,17,0
5,21,10,28,17,21,1
30,8,7,25,4,49,1
28,17,12,2,24,66,1
16,8,12,5,4,43,0
28,25,6,20,7,55,1
17,5,10,30,26,18,0
20,5,16,5,22,64,0
11,14,13,26,2,65,0
5,1,2,10,20,27,1
27,20,6,10,30,64,0
1,29,22,4,18,4,1
5,19,18,1,11,6,1
21,7,26,15,21,33,1
3,11,23,8,19,18,0
15,14,4,9,8,16,0
1,24,1,14,13,12,0
25,17,21,4,9,44,0
2,11,6,13,7,39,1
7,25,14,6,4,29,1
27,17,15,17,14,13,0
16,3,12,8,3,23,1
19,12,21,28,8,74,0
8,1,26,21,23,28,0
28,10,16,20,29,47,0
13,23,21,25,26,49,1
1,1,1,13,24,4,0
5,25,4,30,29,82,0
13,5,28,15,24,61,1
12,16,21,11,26,59,1
21,19,2,13,20,3,0
16,3,30,24,4,36,0
13,20,11,15,6,42,0
12,3,9,26,14,36,0
11,25,30,3,3,55,1
17,27,18,25,12,10,0
27,17,9,8,10,63,1
16,11,16,12,12,48,0
20,2,25,19,1,3,1
28,9,29,9,19,66,1
24,19,17,7,9,62,0
20,14,1,26,25,5,0
20,21,9,9,22,22,1
23,7,17,15,11,4,0
1,24,26,16,17,63,0
15,10,25,9,28,48,0
15,13,21,19,12,23,0
7,10,8,7,11,1,0
19,4,6,1,9,13,1
20,13,20,7,15,70,0
26,29,2,16,21,66,1
18,2,6,27,3,30,1
9,12,6,5,12,35,1
28,18,15,23,30,78,0
22,22,8,7,27,82,0
14,7,6,11,8,3,0
30,27,10,9,8,30,1
3,23,28,1,19,26,1
15,9,6,19,1,17,0
29,13,10,1,18,49,0
24,14,25,9,29,70,0
12,17,4,15,25,37,1
17,18,12,4,25,62,0
3,18,21,3,3,1,0
27,1,20,24,17,7,0
10,8,27,5,8,56,0
28,18,12,27,3,29,0
30,12,20,23,20,76,0
21,20,13,21,8,34,1
28,25,12,9,24,90,0
14,5,30,28,29,3,0
26,10,5,28,26,17,0
21,3,6,15,10,15,1
27,23,16,5,18,65,0
16,28,27,24,5,80,0
2,2,29,10,9,3,0
6,21,25,28,16,23,0
4,6,1,7,20,30,1
23,18,4,30,4,46,0
5,10,8,13,26,54,1
11,16,27,7,27,19,0
8,8,20,29,17,26,0
28,28,19,24,13,14,0
3,13,7,14,26,30,1
24,16,8,10,8,11,0
16,24,30,7,9,58,0
9,22,13,12,24,28,0
11,29,8,29,29,28,0
28,11,19,8,17,80,0
2,29,18,10,14,47,1
12,19,16,10,2,32,0
17,5,30,3,3,21,0
7,27,14,6,15,19,0
2,24,13,13,24,29,0
9,18,13,18,10,6,0
28,19,26,21,3,66,1
29,14,12,18,20,66,0
18,26,6,24,17,36,0
20,22,20,22,11,58,0
5,18,2,18,19,29,0
3,23,14,20,29,13,0
7,16,16,13,5,5,1
26,28,7,10,11,23,0
19,28,12,4,22,32,1
5,23,7,30,22,6,0
27,11,11,8,6,39,0
16,28,12,6,30,57,0
20,5,17,3,13,48,0
20,6,26,29,17,37,1
25,15,22,27,2,36,0
7,18,16,9,25,48,1
30,23,8,12,27,6,0
4,6,10,25,15,8,0
5,28,16,14,5,63,1
2,8,10,15,10,15,1
11,1,30,23,27,13,0
7,17,24,6,25,11,0
28,29,15,2,14,31,1
6,14,25,15,23,18,0
21,2,18,8,8,28,1
28,27,14,7,27,1,0
12,17,16,14,2,36,0
13,16,2,7,20,42,1
1,6,21,12,17,39,1
24,18,26,30,16,106,0
6,20,26,1,19,46,1
15,21,24,27,30,6,0
11,17,10,28,13,12,0
12,23,28,26,25,63,1
1,25,30,21,2,8,0
16,25,4,27,15,47,1
12,26,5,6,15,56,0
21,8,17,6,27,19,0
11,25,23,15,21,67,0
13,25,29,15,8,18,0
15,13,8,15,1,20,0
19,27,21,6,3,59,0
3,25,19,10,7,12,0
4,12,2,1,6,13,1
2,8,28,4,26,68,1
5,5,2,27,29,7,1
29,28,22,2,29,36,0
4,28,18,2,26,12,0
3,17,19,1,3,11,0
10,3,19,15,21,3,1
3,10,25,10,23,67,0
7,30,20,26,19,89,0
27,6,23,2,14,42,0
7,23,27,14,22,45,1
19,10,2,10,19,41,1
15,24,17,19,7,5,0
18,28,8,28,15,86,0
27,25,2,22,20,47,1
6,18,2,22,19,11,0
1,21,10,11,4,20,0
24,22,12,13,1,18,0
21,29,25,25,30,49,0
30,5,10,27,13,63,0
11,15,30,5,20,52,0
10,9,10,6,11,17,1
3,5,22,23,28,24,0
29,6,29,7,21,83,0
29,23,10,6,13,62,1
8,24,2,21,10,13,0
25,23,10,29,5,14,0
25,18,9,30,30,86,0
10,20,30,17,1,56,0
22,23,22,24,18,71,0
28,22,24,27,20,73,1
14,4,13,28,18,45,1
29,3,9,28,10,51,1
19,19,20,12,17,71,0
1,1,4,27,3,17,0
23,21,15,20,5,84,1
30,11,10,30,5,70,1
21,22,28,19,3,60,0
7,29,22,14,17,52,0
21,28,2,30,29,91,0
4,24,24,8,24,72,1
26,19,16,4,8,56,0
2,10,21,26,5,31,1
10,9,24,15,24,42,0
12,19,20,29,16,41,1
29,2,18,12,13,6,0
22,17,16,27,19,100,0
7,25,17,5,25,28,0
16,20,22,13,14,57,0
25,7,30,4,24,90,1
25,27,6,30,21,70,0
19,19,1,28,1,57,0
29,13,14,1,18,72,0
17,6,27,28,26,99,0
26,20,12,25,20,48,0
14,4,15,18,13,31,1
27,17,28,14,2,62,0
2,21,10,7,19,8,0
27,10,8,22,7,10,1
9,19,5,6,16,22,1
1,25,17,6,2,38,0
24,20,22,27,27,81,0
19,28,12,7,14,43,0
12,4,30,18,17,4,1
13,19,23,11,29,3,0
1,2,20,20,3,28,0
2,19,24,23,30,97,0
26,26,28,10,2,66,1
27,15,4,28,26,6,0
8,16,9,1,25,21,0
12,1,12,22,8,35,1
20,26,18,4,1,40,0
23,10,20,17,18,36,0
15,6,27,26,30,59,1
13,8,3,2,13,2,1
30,29,2,18,14,92,0
5,28,30,6,26,14,0
3,25,25,3,19,43,0
9,9,28,28,6,64,0
10,10,10,16,29,42,0
11,28,8,18,16,31,0
29,20,13,26,28,101,0
14,15,5,28,30,87,1
8,24,2,4,30,2,1
5,14,23,3,20,7,0
21,2,20,19,18,28,0
25,7,17,2,3,54,1
28,4,5,22,4,54,1
25,26,18,20,10,97,0
25,25,1,1,21,72,1
29,16,7,15,16,15,1
30,27,16,25,14,80,0
11,6,22,26,6,51,0
21,16,26,23,24,70,1
27,6,17,10,3,23,1
10,24,22,12,26,52,0
22,14,17,26,13,73,0
9,23,20,12,15,12,1
17,17,11,4,26,24,0
11,26,21,20,23,45,0
2,20,6,25,25,44,0
9,17,8,3,9,5,0
6,11,21,29,17,65,0
18,18,3,28,4,10,0
7,1,29,19,18,22,0
5,2,25,15,11,28,1
9,16,26,21,19,85,0
9,8,14,11,3,6,0
21,5,5,12,6,45,0
20,13,27,13,17,17,1
2,5,25,2,28,25,1
24,23,16,22,20,28,0
29,26,16,11,18,22,0
21,19,13,4,27,22,0
29,10,9,6,27,10,1
5,4,26,4,3,33,1
26,30,27,5,5,22,0
17,9,14,10,6,49,0
17,12,28,10,29,72,0
16,14,12,7,1,13,1
10,14,17,5,16,27,1
24,15,13,14,4,35,0
30,5,6,20,27,22,0
3,28,14,5,1,43,1
18,19,13,15,19,28,1
24,10,21,21,24,47,0
22,30,25,3,10,6,0
25,6,28,8,5,32,0
3,13,8,15,30,68,0
22,4,22,29,8,66,0
10,24,19,4,17,34,1
27,3,30,22,27,18,0
12,9,18,14,17,26,1
5,20,19,7,13,3,0
27,23,20,21,5,35,0
19,2,30,30,9,25,0
21,8,22,16,17,41,1
2,9,11,26,24,32,0
10,20,17,8,4,26,0
8,27,20,30,8,28,1
14,4,3,11,15,12,0
19,3,3,6,6,29,0
19,8,16,11,17,45,0
9,26,13,7,7,22,1
19,28,12,21,11,22,0
26,11,21,16,2,66,0
17,19,20,26,2,64,1
26,24,11,6,6,70,0
29,17,13,19,26,90,0
15,30,2,29,23,5,0
21,10,7,19,13,20,1
2,1,14,23,20,26,1
22,2,5,28,15,18,0
25,23,5,7,23,31,0
7,13,17,4,29,26,0
13,6,27,23,18,28,0
16,1,23,4,10,49,1
16,15,16,19,30,44,0
9,12,20,13,5,11,0
25,28,29,10,14,25,1
2,28,12,21,16,55,0
29,10,15,15,18,77,1
13,11,18,27,15,9,0
7,22,3,23,29,25,1
2,29,1,10,11,46,0
5,20,30,7,6,7,1
13,21,23,30,7,43,1
20,2,14,13,1,48,1
19,26,3,25,21,30,0
11,14,6,26,21,51,1
8,18,19,15,6,14,1
2,28,1,19,15,30,1
29,12,11,12,5,42,0
25,15,27,27,16,10,0
29,1,10,22,18,62,1
27,13,22,15,5,50,1
5,20,23,11,11,35,0
26,4,20,22,6,27,0
29,4,26,14,28,80,0
4,7,29,28,29,71,0
5,29,15,15,22,6,0
16,5,28,8,18,54,1
9,23,17,19,5,5,1
29,29,25,17,16,44,0
22,12,20,15,23,63,0
28,1,18,10,10,48,1
2,29,20,2,20,46,0
6,6,21,24,9,39,1
12,18,7,6,15,21,1
27,6,7,23,16,4,0
6,19,6,9,20,40,1
9,27,29,17,3,33,0
29,29,24,18,20,24,1
20,23,21,19,8,84,0
25,26,6,7,13,73,0
29,28,21,27,28,60,0
10,29,29,24,7,77,0
10,2,8,29,19,1,0
19,12,15,9,19,4,0
24,10,30,16,28,11,0
21,21,8,30,27,22,0
2,13,5,10,30,49,0
30,29,20,15,3,48,1
10,12,10,7,20,35,0
5,25,26,30,20,87,0
4,19,27,26,13,25,0
4,30,9,26,22,1,0
9,19,16,25,18,57,0
29,17,23,1,1,70,1
2,16,9,4,8,28,1
4,28,2,6,18,49,0
5,9,28,4,27,27,1
15,5,4,14,2,15,1
21,2,25,29,13,57,0
10,13,27,1,18,1,1
23,12,6,28,22,80,0
28,10,1,28,16,21,0
27,13,12,25,28,70,0
8,27,7,18,18,14,0
10,10,21,18,28,14,0
28,23,8,3,26,13,0
7,17,4,17,27,43,0
27,14,17,26,25,11,0
23,27,29,20,14,92,0
16,2,4,21,18,1,0
13,5,12,2,9,22,1
16,30,24,22,26,50,1
24,3,6,15,2,8,1
13,2,29,26,24,1,0
30,13,12,11,29,11,1
23,9,6,19,29,20,0
8,20,2,15,12,29,1
19,4,3,27,23,10,0
29,7,7,13,27,63,1
29,30,8,11,24,45,0
25,9,17,11,21,35,0
2,7,24,24,15,44,0
15,30,17,1,30,16,1
11,28,14,29,13,72,0
26,3,10,9,16,36,1
5,4,6,7,26,5,1
11,6,3,2,17,1,0
11,15,28,22,28,28,1
8,5,11,21,22,24,1
11,2,1,17,15,1,1
11,11,5,8,11,46,1
5,21,11,14,23,53,1
5,14,21,27,2,59,0
12,27,3,13,7,13,1
13,8,16,5,16,25,0
26,17,27,13,9,78,0
28,30,26,3,17,78,1
24,23,5,26,23,79,0
21,25,15,22,17,63,1
26,3,22,26,1,38,0
29,23,18,3,22,17,0
12,11,11,22,16,8,0
17,11,21,30,18,79,1
15,7,7,14,5,32,0
25,28,4,21,22,15,0
18,25,3,16,28,75,0
9,5,21,17,1,12,0
12,30,13,26,8,43,1
3,2,1,3,22,26,1
19,6,3,24,22,50,1
14,18,22,1,10,36,1
23,27,15,2,30,92,0
1,29,20,8,21,61,0
24,29,13,11,7,58,0
3,4,23,16,30,73,1
18,27,4,20,6,58,0
5,22,2,18,20,36,0
13,8,17,23,16,31,1
30,23,2,2,22,61,0
13,19,24,30,26,4,0
2,14,2,5,18,12,0
26,13,25,19,20,42,0
7,28,5,21,4,40,1
19,19,29,27,15,98,0
14,10,8,17,22,12,0
12,29,21,12,26,37,0
15,15,23,20,13,25,0
8,23,23,15,26,3,0
3,18,24,13,7,37,1
16,15,19,27,29,18,0
12,26,30,18,25,58,0
20,29,23,8,27,95,0
10,13,13,15,18,60,0
15,3,9,29,18,56,1
13,26,13,15,19,11,0
4,26,12,19,22,45,1
29,1,24,15,30,7,0
13,14,29,24,22,81,0
22,19,1,30,7,37,1
26,13,27,1,12,68,0
14,12,2,1,28,8,0
25,22,26,30,9,18,0
24,26,28,19,18,83,0
24,13,22,22,13,53,0
4,25,21,2,15,39,0
28,21,5,19,13,83,0
9,26,12,5,9,12,1
7,28,26,4,18,37,1
25,18,28,18,2,90,0
13,2,18,6,24,63,1
15,18,14,3,4,37,1
13,6,30,17,6,7,0
6,2,22,19,27,28,1
11,18,23,24,1,5,0
11,15,10,17,4,8,0
1,2,17,29,19,66,1
6,3,17,14,11,31,1
3,13,10,17,5,48,1
15,12,25,17,3,35,1
22,3,29,10,11,52,0
30,27,21,8,11,47,0
30,7,20,11,28,5,0
9,16,7,15,9,6,0
21,1,25,12,25,64,0
14,10,6,19,27,42,0
26,16,2,7,4,15,0
23,24,8,14,26,72,1
14,26,12,24,14,6,0
20,18,12,29,3,38,1
23,11,6,24,26,11,1
14,19,5,28,16,81,0
30,4,20,21,14,87,0
20,15,2,29,12,8,0
19,20,28,29,9,85,1
17,3,17,29,13,50,1
12,1,13,10,6,1,1
2,4,16,23,22,56,0
2,16,13,11,25,52,1
2,5,11,30,25,19,0
17,26,23,2,28,21,0
1,16,22,9,24,62,1
30,24,12,22,24,40,0
3,18,13,9,18,23,0
20,17,13,13,5,15,0
8,10,21,16,16,42,1
28,10,23,27,22,61,1
16,24,21,15,25,43,0
11,17,13,30,6,26,0
6,5,18,22,18,66,0
26,1,5,15,19,54,0
9,2,21,26,10,6,0
10,15,12,19,4,48,1
23,11,1,23,17,60,0
8,14,24,13,29,45,1
18,14,10,28,29,58,0
22,18,4,24,16,38,1
14,13,16,12,4,41,1
17,10,2,13,12,18,0
2,4,18,6,24,18,1
12,27,26,23,9,70,1
20,16,29,9,6,51,1
24,26,12,12,9,6,0
12,27,21,27,16,84,0
19,23,9,22,10,46,0
20,2,20,9,12,4,0
8,29,23,6,19,36,0
14,22,10,4,5,51,1
28,8,20,1,5,19,0
28,6,28,30,17,100,0
29,20,24,25,12,34,0
10,22,23,22,1,60,0
13,23,20,17,21,28,0
14,23,20,25,18,75,1
18,5,17,7,19,60,0
19,20,26,11,11,48,1
16,12,4,1,6,34,1
8,21,13,5,23,1,0
10,25,2,25,21,13,0
24,14,2,19,3,33,1
3,17,13,22,4,13,1
30,7,28,6,10,24,0
10,23,13,12,30,21,0
25,8,2,15,30,62,0
5,30,21,5,29,55,1
24,13,18,5,30,19,0
11,25,29,7,14,35,0
20,25,16,11,11,33,0
5,13,17,4,27,62,1
27,25,24,11,26,31,0
15,5,3,7,25,45,1
6,13,3,4,16,7,1
11,15,20,17,15,20,1
29,19,8,4,18,8,1
10,2,12,2,6,14,1
24,22,10,19,14,28,0
9,19,11,5,25,60,1
29,24,24,29,8,33,0
1,7,1,6,19,31,0
20,29,14,10,2,39,1
11,27,21,3,18,13,0
4,1,18,14,19,19,1
16,5,22,26,4,29,0
30,11,18,4,15,78,1
21,15,3,19,2,60,1
22,11,18,12,10,17,0
5,30,15,30,12,21,0
19,3,21,2,10,52,1
23,22,19,27,28,72,1
29,26,3,16,10,60,0
23,13,14,6,17,42,1
14,8,7,4,16,1,0
17,26,11,30,28,96,0
25,10,9,15,20,49,1
4,22,20,6,21,71,0
1,2,22,26,24,35,0
25,30,29,9,10,76,0
29,9,27,6,15,26,0
13,10,3,24,2,19,0
8,16,4,19,8,35,1
30,27,4,20,27,92,0
10,6,22,11,24,55,0
19,12,23,22,8,75,0
9,4,22,3,22,32,0
30,1,4,15,19,4,1
13,4,24,11,29,79,0
30,5,27,14,2,48,1
3,3,24,5,9,3,1
19,27,14,20,24,41,1
16,4,3,2,8,20,1
20,21,23,30,7,56,0
16,6,12,30,27,39,1
13,1,30,17,25,71,0
27,22,21,18,4,30,0
18,27,25,30,18,107,0
26,12,2,3,24,9,0
6,23,6,11,23,6,1
13,12,29,15,16,68,0
9,13,1,7,9,24,0
15,28,26,8,11,53,0
24,18,14,5,11,28,0
17,17,5,10,16,36,0
8,14,27,26,27,39,0
22,19,12,15,18,82,0
10,25,7,30,17,67,0
25,18,21,16,9,28,0
7,8,3,23,26,40,0
19,17,20,29,25,80,0
28,15,24,18,17,17,1
12,22,20,24,18,62,1
20,17,9,1,2,17,1
3,11,26,22,18,52,0
2,17,30,23,18,73,1
24,7,2,25,17,41,1
16,8,5,8,20,33,1
12,3,17,9,27,5,0
29,5,13,5,18,53,0
3,9,4,24,26,48,0
18,9,30,20,11,10,0
13,7,3,18,23,49,0
20,25,29,18,28,60,0
12,17,15,23,11,64,0
23,2,21,9,28,56,0
12,29,27,24,4,25,0
